date,open,high,low,close
22-07-2019,0.3,0.3,0.25,0.3
23-07-2019,0.3,0.35,0.3,0.35
24-07-2019,0.35,0.4,0.35,0.4
25-07-2019,0.45,0.45,0.4,0.45
26-07-2019,0.5,0.5,0.45,0.5
29-07-2019,0.55,0.55,0.45,0.45
30-07-2019,0.45,0.5,0.4,0.4
31-07-2019,0.35,0.4,0.35,0.35
01-08-2019,0.3,0.35,0.3,0.35
02-08-2019,0.35,0.35,0.3,0.3
05-08-2019,0.35,0.35,0.25,0.3
06-08-2019,0.3,0.35,0.3,0.3
07-08-2019,0.3,0.35,0.3,0.3
08-08-2019,0.3,0.35,0.3,0.35
09-08-2019,0.35,0.35,0.3,0.35
13-08-2019,0.3,0.35,0.3,0.3
14-08-2019,0.35,0.35,0.3,0.35
16-08-2019,0.3,0.35,0.3,0.3
19-08-2019,0.35,0.35,0.25,0.3
20-08-2019,0.3,0.35,0.25,0.3
21-08-2019,0.3,0.3,0.25,0.3
22-08-2019,0.3,0.3,0.25,0.25
23-08-2019,0.3,0.3,0.25,0.3
26-08-2019,0.3,0.3,0.25,0.3
27-08-2019,0.25,0.3,0.25,0.25
28-08-2019,0.25,0.3,0.25,0.25
29-08-2019,0.3,0.3,0.25,0.25
30-08-2019,0.25,0.25,0.2,0.25
03-09-2019,0.25,0.3,0.2,0.25
04-09-2019,0.2,0.3,0.2,0.25
05-09-2019,0.25,0.3,0.2,0.25
06-09-2019,0.3,0.3,0.2,0.25
09-09-2019,0.25,0.3,0.25,0.25
11-09-2019,0.3,0.3,0.2,0.3
12-09-2019,0.25,0.3,0.25,0.25
13-09-2019,0.25,0.3,0.25,0.3
16-09-2019,0.25,0.3,0.25,0.25
17-09-2019,0.3,0.3,0.25,0.25
18-09-2019,0.3,0.3,0.25,0.3
19-09-2019,0.25,0.3,0.25,0.3
20-09-2019,0.3,0.3,0.25,0.25
23-09-2019,0.25,0.25,0.2,0.25
24-09-2019,0.25,0.3,0.2,0.25
25-09-2019,0.25,0.3,0.2,0.25
26-09-2019,0.25,0.3,0.2,0.25
27-09-2019,0.25,0.25,0.2,0.25
30-09-2019,0.25,0.25,0.2,0.2
01-10-2019,0.25,0.25,0.2,0.2
03-10-2019,0.25,0.25,0.2,0.2
04-10-2019,0.25,0.25,0.2,0.25
07-10-2019,0.25,0.25,0.2,0.25
09-10-2019,0.25,0.25,0.2,0.2
10-10-2019,0.25,0.25,0.2,0.2
11-10-2019,0.25,0.25,0.2,0.25
14-10-2019,0.2,0.25,0.2,0.2
15-10-2019,0.25,0.25,0.2,0.2
16-10-2019,0.25,0.25,0.2,0.25
17-10-2019,0.2,0.25,0.2,0.2
18-10-2019,0.2,0.25,0.2,0.2
22-10-2019,0.25,0.25,0.2,0.25
23-10-2019,0.2,0.25,0.2,0.25
24-10-2019,0.25,0.25,0.2,0.25
25-10-2019,0.2,0.25,0.2,0.2
27-10-2019,0.25,0.25,0.2,0.2
29-10-2019,0.2,0.25,0.2,0.2
30-10-2019,0.25,0.25,0.2,0.25
31-10-2019,0.25,0.25,0.2,0.25
01-11-2019,0.25,0.25,0.2,0.2
04-11-2019,0.25,0.25,0.2,0.2
05-11-2019,0.25,0.25,0.2,0.25
06-11-2019,0.2,0.25,0.2,0.2
07-11-2019,0.2,0.25,0.2,0.25
08-11-2019,0.2,0.25,0.2,0.25
11-11-2019,0.25,0.25,0.2,0.25
13-11-2019,0.2,0.25,0.2,0.2
14-11-2019,0.2,0.25,0.2,0.2
15-11-2019,0.2,0.25,0.2,0.2
18-11-2019,0.2,0.25,0.2,0.25
19-11-2019,0.2,0.25,0.2,0.2
20-11-2019,0.2,0.25,0.2,0.25
21-11-2019,0.2,0.25,0.2,0.2
22-11-2019,0.25,0.25,0.2,0.2
25-11-2019,0.2,0.25,0.2,0.2
26-11-2019,0.2,0.25,0.2,0.25
27-11-2019,0.25,0.25,0.2,0.2
28-11-2019,0.25,0.25,0.2,0.25
29-11-2019,0.25,0.25,0.2,0.25
02-12-2019,0.25,0.25,0.2,0.2
03-12-2019,0.25,0.25,0.2,0.2
04-12-2019,0.25,0.25,0.2,0.2
05-12-2019,0.25,0.25,0.2,0.25
06-12-2019,0.2,0.25,0.2,0.25
09-12-2019,0.25,0.25,0.2,0.2
10-12-2019,0.25,0.25,0.2,0.2
11-12-2019,0.2,0.25,0.2,0.2
12-12-2019,0.25,0.25,0.2,0.25
13-12-2019,0.25,0.25,0.2,0.25
16-12-2019,0.25,0.25,0.2,0.25
