date,open,high,low,close
22-07-2019,45.5,47.45,44.7,46.8
23-07-2019,46.9,49.35,46.7,48.8
24-07-2019,49.4,49.5,48.25,48.45
25-07-2019,48.35,49.4,48.35,48.8
26-07-2019,48.8,50.35,48.2,49.6
29-07-2019,49.05,50.05,48.55,48.8
30-07-2019,49.0,49.2,46.0,46.4
31-07-2019,45.6,47.8,45.4,46.8
01-08-2019,46.0,47.75,45.1,45.6
02-08-2019,45.4,48.15,45.0,46.85
05-08-2019,46.1,47.7,45.1,45.8
06-08-2019,45.95,48.15,45.5,47.5
07-08-2019,47.65,49.35,47.2,47.8
08-08-2019,48.5,49.4,46.7,47.35
09-08-2019,47.45,48.1,46.05,46.4
13-08-2019,47.0,47.4,45.9,46.5
14-08-2019,46.5,47.0,46.3,46.6
16-08-2019,45.2,47.65,45.2,46.85
19-08-2019,47.3,47.4,46.1,46.35
20-08-2019,46.3,46.65,45.4,45.8
21-08-2019,45.9,45.9,43.8,44.1
22-08-2019,43.6,44.5,43.2,43.5
23-08-2019,43.0,44.0,42.75,43.85
26-08-2019,45.0,45.0,42.5,43.65
27-08-2019,43.55,45.5,43.5,44.95
28-08-2019,45.0,45.2,43.5,44.05
29-08-2019,44.15,44.3,43.0,43.4
30-08-2019,46.0,47.85,45.5,46.4
03-09-2019,46.0,46.2,43.5,44.45
04-09-2019,44.8,44.8,43.5,43.85
05-09-2019,44.15,45.9,44.15,45.05
06-09-2019,45.25,45.8,44.75,45.1
09-09-2019,45.45,45.9,45.0,45.5
11-09-2019,45.55,49.1,45.5,48.3
12-09-2019,49.05,50.25,48.4,48.9
13-09-2019,49.25,50.6,48.0,50.25
16-09-2019,49.95,57.5,49.85,55.55
17-09-2019,55.9,57.2,53.35,54.85
18-09-2019,55.6,55.7,52.0,53.05
19-09-2019,53.1,53.3,48.85,50.15
20-09-2019,50.5,53.4,49.2,51.6
23-09-2019,52.5,54.5,51.7,52.2
24-09-2019,52.0,53.5,51.3,52.7
25-09-2019,52.6,53.85,51.4,52.55
26-09-2019,52.6,60.45,52.1,59.15
27-09-2019,59.15,60.05,56.0,57.35
30-09-2019,57.55,61.45,55.8,58.25
01-10-2019,58.75,59.3,55.9,56.5
03-10-2019,56.7,63.25,55.0,61.2
04-10-2019,61.85,66.0,61.2,65.15
07-10-2019,65.45,68.7,62.6,68.05
09-10-2019,68.3,74.3,67.5,71.45
10-10-2019,71.4,74.5,70.55,73.8
11-10-2019,74.6,79.35,74.2,78.75
14-10-2019,79.45,81.25,72.2,79.15
15-10-2019,79.8,81.2,77.75,79.95
16-10-2019,80.6,81.0,79.3,80.25
17-10-2019,80.45,92.9,80.25,88.85
18-10-2019,89.0,93.0,88.0,89.6
22-10-2019,90.0,91.25,84.0,86.6
23-10-2019,86.55,89.8,85.0,86.65
24-10-2019,87.35,87.75,85.1,86.15
25-10-2019,85.9,93.1,85.0,88.95
27-10-2019,90.0,91.5,89.5,90.2
29-10-2019,90.35,92.7,87.1,89.5
30-10-2019,89.6,92.0,89.5,89.9
31-10-2019,90.55,91.75,88.6,89.7
01-11-2019,90.25,91.0,88.1,89.95
04-11-2019,89.7,95.85,89.6,92.65
05-11-2019,93.2,93.6,90.1,90.7
06-11-2019,90.0,92.2,89.15,90.3
07-11-2019,90.4,91.2,88.3,88.7
08-11-2019,88.8,89.6,83.6,86.7
11-11-2019,86.8,95.25,85.2,93.85
13-11-2019,95.0,99.8,94.0,96.0
14-11-2019,96.7,98.5,93.5,95.05
15-11-2019,95.4,96.7,94.5,95.5
18-11-2019,95.95,96.0,93.65,94.05
19-11-2019,94.05,97.6,92.0,96.2
20-11-2019,96.8,100.9,95.6,98.75
21-11-2019,98.65,99.2,96.3,97.0
22-11-2019,97.45,106.7,95.3,106.7
25-11-2019,107.7,117.3,106.7,114.3
26-11-2019,114.5,118.85,110.85,115.15
27-11-2019,115.8,126.65,115.4,125.9
28-11-2019,127.25,132.15,127.25,132.15
29-11-2019,136.0,138.75,132.35,137.1
02-12-2019,138.0,138.7,130.25,131.3
03-12-2019,132.0,132.0,124.75,124.75
04-12-2019,119.55,130.95,118.55,128.55
05-12-2019,129.0,133.95,128.6,129.95
06-12-2019,129.6,131.25,123.5,126.4
09-12-2019,125.3,126.25,121.05,124.65
10-12-2019,124.35,129.0,123.65,126.9
11-12-2019,128.0,133.2,127.2,132.55
12-12-2019,134.2,135.5,129.15,131.9
13-12-2019,131.9,135.5,131.5,132.65
16-12-2019,133.3,137.9,132.7,134.4
17-12-2019,135.0,137.0,134.55,135.55
18-12-2019,136.3,137.3,134.0,135.1
19-12-2019,134.95,135.45,133.05,134.25
20-12-2019,134.75,136.4,134.1,135.1
23-12-2019,135.1,141.85,134.75,141.85
24-12-2019,146.45,148.9,145.1,148.9
26-12-2019,156.3,156.3,156.25,156.3
27-12-2019,159.4,164.1,149.25,151.0
30-12-2019,153.7,158.55,152.45,158.55
31-12-2019,166.45,166.45,161.1,166.45
01-01-2020,169.35,174.75,168.1,174.75
02-01-2020,179.15,183.45,177.55,183.45
03-01-2020,187.8,192.6,183.0,192.6
06-01-2020,200.0,202.2,185.55,200.6
07-01-2020,208.0,210.6,203.0,210.6
08-01-2020,215.8,221.1,214.45,221.1
09-01-2020,232.15,232.15,232.15,232.15
10-01-2020,243.75,243.75,220.55,220.55
13-01-2020,209.55,209.55,209.55,209.55
14-01-2020,199.1,199.1,199.1,199.1
15-01-2020,189.15,189.15,189.15,189.15
16-01-2020,179.7,179.7,179.7,179.7
17-01-2020,175.1,188.65,172.3,188.65
20-01-2020,198.05,198.05,185.0,198.05
21-01-2020,199.0,207.0,192.0,202.25
22-01-2020,204.0,208.95,194.55,197.65
23-01-2020,199.2,199.9,190.0,192.2
24-01-2020,187.5,194.9,182.6,190.25
27-01-2020,189.0,194.1,186.5,190.75
28-01-2020,191.5,196.5,186.1,187.65
29-01-2020,188.0,191.0,185.05,186.3
30-01-2020,186.9,187.9,177.65,180.45
31-01-2020,182.5,189.45,176.85,189.45
01-02-2020,192.8,197.9,183.15,186.85
