date,open,high,low,close
22-07-2019,999.99,1000.01,999.99,999.99
23-07-2019,999.99,1000.01,999.99,999.99
24-07-2019,1000.0,1000.01,999.99,999.99
25-07-2019,999.99,1000.01,999.99,999.99
26-07-2019,999.99,1000.01,999.99,1000.0
29-07-2019,999.99,1000.01,999.99,1000.0
30-07-2019,999.99,1000.01,999.99,999.99
31-07-2019,999.99,1000.01,999.99,999.99
01-08-2019,1000.01,1000.01,999.99,999.99
02-08-2019,999.99,1000.01,999.99,999.99
05-08-2019,999.99,1000.01,999.99,999.99
06-08-2019,999.99,1000.01,999.99,999.99
07-08-2019,999.99,1000.01,999.99,1000.0
08-08-2019,999.99,1000.01,999.99,1000.0
09-08-2019,1000.01,1000.01,999.99,1000.0
13-08-2019,999.99,1000.01,999.99,999.99
14-08-2019,999.99,1000.01,999.99,999.99
16-08-2019,1000.0,1000.01,999.99,1000.0
19-08-2019,1000.01,1000.01,999.99,999.99
20-08-2019,1000.01,1000.01,999.99,999.99
21-08-2019,1000.01,1000.01,999.99,1000.0
22-08-2019,999.99,1000.01,999.99,1000.0
23-08-2019,999.99,1000.01,999.99,1000.0
26-08-2019,999.99,1000.01,999.99,999.99
27-08-2019,999.99,1000.01,999.99,999.99
28-08-2019,999.99,1000.01,999.99,1000.0
29-08-2019,1000.0,1000.0,999.99,1000.0
30-08-2019,1000.01,1000.01,999.99,1000.0
03-09-2019,999.99,1000.01,999.99,1000.01
04-09-2019,1000.04,1000.04,999.99,999.99
05-09-2019,999.99,1000.01,999.99,1000.0
06-09-2019,1000.0,1000.01,999.99,999.99
09-09-2019,999.99,1000.01,999.99,1000.01
11-09-2019,999.99,1000.01,999.99,1000.0
12-09-2019,999.99,1000.01,999.99,999.99
13-09-2019,1000.04,1000.04,999.99,999.99
16-09-2019,1000.0,1000.01,999.99,999.99
17-09-2019,1000.01,1000.01,999.99,1000.0
18-09-2019,1000.01,1000.01,999.99,999.99
19-09-2019,1000.01,1000.01,999.99,999.99
20-09-2019,999.99,1000.01,999.99,1000.0
23-09-2019,1000.04,1000.04,999.05,1000.0
24-09-2019,1000.01,1000.01,999.99,1000.0
25-09-2019,1000.01,1000.01,999.99,999.99
26-09-2019,1000.0,1000.01,999.99,1000.0
27-09-2019,1000.0,1000.01,999.99,999.99
30-09-2019,1000.01,1000.01,999.99,1000.0
01-10-2019,1000.01,1000.01,999.99,999.99
03-10-2019,999.05,1000.01,988.85,1000.01
04-10-2019,999.99,1000.01,999.99,1000.0
07-10-2019,1000.01,1000.01,999.99,1000.0
09-10-2019,1000.01,1000.01,999.99,999.99
10-10-2019,1000.01,1000.01,999.99,1000.0
11-10-2019,999.99,1000.01,999.99,999.99
14-10-2019,999.99,1000.01,999.99,1000.0
15-10-2019,1000.0,1000.01,999.99,1000.0
16-10-2019,1000.01,1000.01,999.99,999.99
17-10-2019,999.99,1000.01,999.99,1000.0
18-10-2019,999.99,1000.01,999.99,999.99
22-10-2019,1000.04,1000.04,999.99,999.99
23-10-2019,1000.01,1000.01,999.99,1000.0
24-10-2019,1000.01,1000.01,999.99,1000.0
25-10-2019,1000.04,1000.06,999.99,1000.0
27-10-2019,999.99,1000.01,999.99,1000.0
29-10-2019,1000.0,1000.01,999.99,999.99
